N M h2 pval
-1 -1 0.0001 0.13163075341831276
-1 -1 0.0001 0.007499964794636105
-1 -1 0.0001 0.0008902287928092001
-1 -1 0.0001 4.223900630595523e-06
-1 -1 0.0001 0.21330113465870038
-1 -1 0.0001 0.1346485742045449
-1 -1 0.0001 0.00023379101932730073
-1 -1 0.0001 0.15470733218202248
-1 -1 0.0001 0.4038117146010154
-1 -1 0.0001 0.021771234128845518
-1 -1 0.0001 0.8070875484464289
-1 -1 0.0001 0.043913319683593244
-1 -1 0.0001 0.1925151483905725
-1 -1 0.0001 0.20543461507360006
-1 -1 0.0001 0.3178355093916231
-1 -1 0.0001 0.06549297272524246
-1 -1 0.0001 0.000273941919990639
-1 -1 0.0001 0.028473137952070626
-1 -1 0.0001 0.008540131023651698
-1 -1 0.0001 4.534545776868626e-06
-1 -1 0.0001 4.409709053465605e-08
-1 -1 0.0001 0.5807877322605577
-1 -1 0.0001 0.3219339867094235
-1 -1 0.0001 0.35456045376037915
-1 -1 0.0001 0.04440285406516764
-1 -1 0.0001 0.002329230448922859
-1 -1 0.0001 1.4676412236847014e-05
-1 -1 0.0001 0.05849719648786411
-1 -1 0.0001 0.14155155669177188
-1 -1 0.0001 0.3447015816387693
-1 -1 0.0001 0.000125775949132656
-1 -1 0.0001 0.005828480412986448
-1 -1 0.0001 0.07754636782039792
-1 -1 0.0001 0.33321355751833126
-1 -1 0.0001 0.4049241654824288
-1 -1 0.0001 0.0005760958984541986
-1 -1 0.0001 1.1258341420239404e-05
-1 -1 0.0001 0.008691414131761221
-1 -1 0.0001 0.2493669346425047
-1 -1 0.0001 0.3666525499830531
-1 -1 0.0001 0.02443481390184843
-1 -1 0.0001 0.07611643994071537
-1 -1 0.0001 0.0374452904450473
-1 -1 0.0001 0.2349939715107363
-1 -1 0.0001 0.3447441731392058
-1 -1 0.0001 0.19111716075055418
-1 -1 0.0001 0.0009993475753422576
-1 -1 0.0001 0.008924123440244847
-1 -1 0.0001 0.005876394727806655
-1 -1 0.0001 0.03248158258285372
-1 -1 0.0001 0.0008929699933619695
-1 -1 0.0001 0.05784863710276733
-1 -1 0.0001 0.7675630861890809
-1 -1 0.0001 1.032810563517117e-05
-1 -1 0.0001 0.0008549192811500017
-1 -1 0.0001 0.23035727109505044
-1 -1 0.0001 0.03559933788522274
-1 -1 0.0001 0.004303636815027767
-1 -1 0.0001 0.0002483001602595625
-1 -1 0.0001 7.331587061898404e-06
-1 -1 0.0001 0.0011612899485522465
-1 -1 0.0001 4.778069211397451e-07
-1 -1 0.0001 0.0140326881951931
-1 -1 0.0001 0.0003348414257386967
-1 -1 0.0001 0.0669389851513178
-1 -1 0.0001 0.0002606506981421841
-1 -1 0.0001 0.00475230934192683
-1 -1 0.0001 0.41858416785164665
-1 -1 0.0001 0.1648158626195777
-1 -1 0.0001 0.31827776928785356
-1 -1 0.0001 0.14241136784471387
-1 -1 0.0001 0.13315274016382594
-1 -1 0.0001 0.39818044262051444
-1 -1 0.0001 0.0009177741324355448
-1 -1 0.0001 0.18977209764080072
-1 -1 0.0001 0.05153447317998161
-1 -1 0.0001 0.6160817129126227
-1 -1 0.0001 0.30638386521399363
-1 -1 0.0001 0.025312830129866626
-1 -1 0.0001 0.0014414379285634382
-1 -1 0.0001 0.011148492434727153
-1 -1 0.0001 0.00028677453439929224
-1 -1 0.0001 0.000532702311977884
-1 -1 0.0001 0.03446176087252473
-1 -1 0.0001 0.00022907409326577977
-1 -1 0.0001 0.5622272665317259
-1 -1 0.0001 0.7021189492499919
-1 -1 0.0001 0.023723233010911393
-1 -1 0.0001 0.08613979748442757
-1 -1 0.0001 0.035059029365606675
-1 -1 0.0001 0.004932343862915856
-1 -1 0.0001 0.0005428720847560076
-1 -1 0.0001 0.03413706069299016
-1 -1 0.0001 0.20865951383407355
-1 -1 0.0001 0.021986233280876122
-1 -1 0.0001 0.002270594164767381
-1 -1 0.0001 0.07796006068946493
-1 -1 0.0001 0.0021573113832472623
-1 -1 0.0001 0.21360280590459713
-1 -1 0.0001 0.004324212351949019
-1 -1 0.0001 0.4759088645104974
-1 -1 0.0001 0.00041678788329746475
-1 -1 0.0001 0.6539573524367932
-1 -1 0.0001 0.0018412234478545342
-1 -1 0.0001 0.07327589689034952
-1 -1 0.0001 0.1455157163805868
-1 -1 0.0001 0.2853549671120249
-1 -1 0.0001 0.01851184998142763
-1 -1 0.0001 0.11222029329737027
-1 -1 0.0001 0.0008897311168165611
-1 -1 0.0001 0.2847925614819945
-1 -1 0.0001 0.037429850871270265
-1 -1 0.0001 0.33976988756284865
-1 -1 0.0001 0.0004173101756453912
-1 -1 0.0001 0.21711297431832977
-1 -1 0.0001 0.16397058940224984
-1 -1 0.0001 0.003730989875103896
-1 -1 0.0001 0.04534648960921639
-1 -1 0.0001 0.00030403847595084077
-1 -1 0.0001 0.7174224423463562
-1 -1 0.0001 0.10057064656763903
-1 -1 0.0001 0.0026594795803517313
-1 -1 0.0001 0.0025546642815622578
-1 -1 0.0001 0.35892059593077486
-1 -1 0.0001 0.01568089743581269
-1 -1 0.0001 0.8333309299882239
-1 -1 0.0001 3.590359405336585e-06
-1 -1 0.0001 1.0358623958595103e-08
-1 -1 0.0001 0.8063514897209821
-1 -1 0.0001 0.0014873702729624183
-1 -1 0.0001 0.0060250408439326275
-1 -1 0.0001 0.003524854308633474
-1 -1 0.0001 0.020514212165122392
-1 -1 0.0001 0.06401825492860602
-1 -1 0.0001 0.11401410658134359
-1 -1 0.0001 0.28983697905418315
-1 -1 0.0001 0.022175777431979737
-1 -1 0.0001 7.726115469974815e-05
-1 -1 0.0001 0.19794293361007353
