N,M,h2,h2_est,h2_diff
-1,-1,0.05,0.04822562439692097,0.0017743756030790328
-1,-1,0.05,0.04999413308652195,5.866913478050351e-06
-1,-1,0.05,0.036747336562960094,0.013252663437039909
-1,-1,0.05,0.05234235066999614,-0.002342350669996135
-1,-1,0.05,0.06881331627704347,-0.018813316277043468
-1,-1,0.05,0.0461740834933244,0.003825916506675603
-1,-1,0.05,0.05467162591189809,-0.0046716259118980905
-1,-1,0.05,0.044118700561168844,0.0058812994388311585
-1,-1,0.05,0.05373922550573208,-0.00373922550573208
-1,-1,0.05,0.05351718484004941,-0.0035171848400494046
-1,-1,0.05,0.05545206413650156,-0.00545206413650156
-1,-1,0.05,0.05171044996864352,-0.0017104499686435154
-1,-1,0.05,0.03690917702143176,0.013090822978568242
-1,-1,0.05,0.05106456253271687,-0.0010645625327168687
-1,-1,0.05,0.05861425831763325,-0.008614258317633246
-1,-1,0.05,0.04033943954228602,0.009660560457713983
-1,-1,0.05,0.052302063189589465,-0.002302063189589462
-1,-1,0.05,0.04346703158081515,0.006532968419184854
-1,-1,0.05,0.06657307268396094,-0.016573072683960938
-1,-1,0.05,0.05051317313370613,-0.0005131731337061282
-1,-1,0.05,0.06384187955203373,-0.013841879552033726
-1,-1,0.05,0.0315594967216861,0.018440503278313904
-1,-1,0.05,0.051034285420878955,-0.0010342854208789526
-1,-1,0.05,0.046356097375745496,0.0036439026242545067
-1,-1,0.05,0.04799378681725836,0.002006213182741641
-1,-1,0.05,0.041648969683267444,0.00835103031673256
-1,-1,0.05,0.057270161699393654,-0.007270161699393651
-1,-1,0.05,0.03978661448844868,0.01021338551155132
-1,-1,0.05,0.04882583992598555,0.0011741600740144548
-1,-1,0.05,0.07470521299148862,-0.024705212991488618
-1,-1,0.05,0.04867801915097097,0.001321980849029035
-1,-1,0.05,0.051185841017540236,-0.0011858410175402331
-1,-1,0.05,0.06877728111842518,-0.01877728111842518
-1,-1,0.05,0.05454256306940271,-0.004542563069402705
-1,-1,0.05,0.040535876594343344,0.009464123405656659
-1,-1,0.05,0.031221244099633654,0.01877875590036635
-1,-1,0.05,0.039920542815647275,0.010079457184352728
-1,-1,0.05,0.0486346233252939,0.001365376674706105
-1,-1,0.05,0.0640026893299746,-0.014002689329974602
-1,-1,0.05,0.05321093035523888,-0.0032109303552388738
-1,-1,0.05,0.038148449890631014,0.011851550109368988
-1,-1,0.05,0.06272671299029542,-0.012726712990295416
-1,-1,0.05,0.04207009304521517,0.007929906954784835
-1,-1,0.05,0.03436905901991039,0.01563094098008961
-1,-1,0.05,0.05265635354438705,-0.0026563535443870495
